Arbeit	arbeit	arbeid	NOUN.Fem.Dat	0.9361702127659575	dict/vocab.json
Arbeit	arbeit	arbeid	NOUN.Fem.Nom	0.9574468085106383	dict/vocab.json
arbeiden	arbeiden	arbeiden	VERB.Inf	1.0	dict/vocab.json
arbeiden	arbeiden	arbeiden	VERB._.Pl.Ind.Prs	0.8654970760233918	dict/vocab.json
arme	arme	arm	ADJ.Fem.Nom	1.0	dict/vocab.json
armet	armet	arm	ADJ.Pos.Fem.Acc.reg.st	0.91	dict/vocab.json
armet	armet	arm	ADJ.Pos.Fem.Nom.reg.st	0.92	dict/vocab.json
arme	arme	arm	ADJ.Pos.Masc.Nom.arch	0.9868421052631579	dict/vocab.json
armet	armet	arm	ADJ.Pos.Neut.Acc.wk	1.0	dict/vocab.json
armet	armet	arm	ADJ.Pos.Neut.Nom.wk.reg.st	0.975	dict/vocab.json
armet	armet	arm	ADJ.Pos.Pl.Acc.wk.reg.st	0.925	dict/vocab.json
armet	armet	arm	ADJ.Pos.Pl.Nom.wk.reg.st	0.925	dict/vocab.json
armet	armet	arm	ADV.reg.st	0.645	dict/vocab.json
Arm	arm	arm	NOUN.Masc.Acc	1.0	dict/vocab.json
Arm	arm	arm	NOUN.Masc.Dat	0.9175257731958762	dict/vocab.json
Arm	arm	arm	NOUN.Masc.Nom	0.9072164948453608	dict/vocab.json
Armee	armE	armE	NOUN.Fem.Acc	1.0	dict/vocab.json
Armee	armE	armE	NOUN.Fem.Dat	0.9361702127659575	dict/vocab.json
Armee	armE	armE	NOUN.Fem.Nom	0.9574468085106383	dict/vocab.json
Armoth	armOt	armOt	NOUN.Fem.Acc	1.0	dict/vocab.json
Armoth	armOt	armOt	NOUN.Fem.Dat	0.9361702127659575	dict/vocab.json
Armoth	armOt	armOt	NOUN.Fem.Nom	0.9574468085106383	dict/vocab.json
Armer	armer	armer	NOUN.Masc.Acc.Sg.hd	0.9486301369863014	dict/vocab.json
Armer	armer	armer	NOUN.Masc.Dat.Sg.hd	0.9486301369863014	dict/vocab.json
Armer	armer	armer	NOUN.Masc.Nom.Sg	1.0	dict/vocab.json
Athen	atEn	atEn	PROPN.Neut.Acc	1.0	dict/vocab.json
Athen	atEn	atEn	PROPN.Neut.Dat	1.0	dict/vocab.json
